Title,Price,Vendor,Description
Ford Focus 1.6,"5,700 лв.","частно лице, Завет (Разград)",Нов внос Нидерландия. Добре работещи двигател и скоростна кутия. Климатикът...
Ford Galaxy 2.0,"2,299 лв.","частно лице, Шумен",
Audi A4 2.0,"2,699 лв.","частно лице, Шумен",Кара се всекидневно Всичко платено без ръжди задължително првхяърляне Раб...
Peugeot 308 1.6i-120k,"5,350 лв.","ПЕРФЕКТ АУТО 73, Враца",Нов внос ! ! без ръжди и корозии! ! ! отлична работа на мотор и скоростна к...
Mitsubishi Space Star MPI,"5,690 лв.","частно лице, Казанлък","Нов внос,за ценители,регистриран 04.09.2024г., годишна ВИНЕТКА,ПЕРФЕКТЕН ..."
Toyota Corolla Verso 1.6 бензин,"4,900 лв.","МАРЕК 1, Дупница",
Mazda 3 2.0 SPORT,"5,990 лв.","частно лице, Варна","Отличен автомобил ,както технически така и визуално. Перфектна тиха и рарно..."
Opel Meriva 1.4i LPG FACE,"5,500 лв.","частно лице, Варна",Автомобилът е в отлично техническо и визуално състояние.работи безупречно к...
"Skoda Fabia 1,2бен.115х.кл.","5,500 лв.","частно лице, Враца",Внос от Австрия. Всичко в изправност. Перфектен интериор. Много добре ра...
Hyundai Accent 1.4i 16v LPG,"3,800 лв.","частно лице, София","Обслужена, с нови дискове и накладки редовни документи за регистрация! Раз..."
Audi A4 2.0 i,"2,999 лв.","частно лице, Белоградчик",Автомобилът е нов внос от Германия в много добро техническо и визуално съст...
Subaru OUTBACK 2.5I GAS,"5,800 лв.","haskovocarsbg, Хасково","Внос от Швейцария. Цената е с платено мито и ДДС! С фактура, без нотариални..."
Subaru Impreza 2.0i,"3,900 лв.","haskovocarsbg, Хасково","Внос от Швейцария. Цената е с платено мито и ДДС! С фактура, без нотариални..."
Subaru Legacy 2.0i,"5,900 лв.","haskovocarsbg, Хасково","Внос от Швейцария. Цената е с платено мито и ДДС! С фактура, без нотариални..."
Subaru Legacy 2.0R,"5,900 лв.","haskovocarsbg, Хасково","Внос от Швейцария. Цената е с платено мито и ДДС! С фактура, без нотариални..."
VW Golf Plus 1.6I,"5,300 лв.","haskovocarsbg, Хасково","Внос от Швейцария. Цената е с платено мито и ДДС! С фактура, без нотариални..."
Subaru Justy 1.3 4x4 Swiss,"5,500 лв.","MICHEV TRANS EOOD, Троян",Внос от Швейцария.Платено мито и ДДС.Реални километри.Сервизна книжка!
Mercedes-Benz C 180 129 к.с,"4,200 лв.","частно лице, Варна","В добро състояние,много поддържан автомобил.ходова час и двигател перфектни..."
Toyota Corolla Verso 1.8 VVT-I,"5,970 лв.","K&K Auto, София","Нов внос от Италия,закупен от първи собственик, валиден италиански техниче..."
